AreaType,AQI,PM2.5,PM10,NO2,SO2,CO,O3,TrafficDensity,RoadDistance,DustIndex,Temperature,Humidity,Rainfall,WindSpeed,Sunlight,SoilType,SoilPH,Drainage,SpaceType,AreaSize,MaintenanceLevel,WateringPreference,Purpose,RecommendedPlant
Urban,94,23.07,36.28,13.59,4.61,115.96,55.98,Low,73,65,30,81,250,0,Full Shade,Clay,7.6,Poor,Indoor,Medium,Low,Frequent,Shade,Banyan
Rural,57,26.16,17.87,5.88,3.49,152.19,30.82,High,5,69,28,66,251,18,Full Sun,Clay,7.3,Poor,Outdoor,Large,Medium,Frequent,Edible,Ashoka
Rural,108,37.29,52.02,17.83,4.69,189.93,50.36,Low,81,40,24,62,218,10,Full Sun,Loamy,7.0,Good,Outdoor,Large,Low,Rare,Decoration,Peepal
Urban,110,34.7,51.43,7.86,6.64,144.58,50.78,Low,93,34,30,70,220,7,Full Sun,Clay,7.2,Moderate,Outdoor,Large,Medium,Regular,Shade,Neem
Residential,35,12.05,15.0,2.0,1.27,117.08,19.86,Medium,42,59,34,44,86,12,Full Sun,Loamy,6.7,Poor,Outdoor,Large,Medium,Regular,Decoration,Jamun
Urban,59,27.69,18.36,2.0,2.01,90.35,31.42,High,5,65,34,58,208,0,Partial Shade,Sandy,6.1,Moderate,Indoor,Large,Medium,Regular,Air Purification,Banyan
Rural,90,36.09,43.84,13.28,2.51,128.37,39.1,Medium,56,38,28,66,213,20,Partial Shade,Loamy,6.6,Poor,Outdoor,Large,Medium,Regular,Edible,Banyan
Urban,73,25.32,34.08,5.79,6.65,124.52,34.02,Low,44,29,31,68,235,6,Full Shade,Loamy,7.2,Poor,Indoor,Small,Low,Rare,Shade,Ashoka
Residential,75,19.92,32.29,8.19,5.35,110.47,41.2,Medium,41,61,21,51,184,3,Partial Shade,Loamy,7.3,Good,Balcony,Medium,Medium,Regular,Decoration,Gulmohar
Urban,73,19.68,39.51,12.95,2.08,135.25,46.93,Low,71,37,34,66,154,6,Full Shade,Sandy,6.6,Good,Indoor,Medium,Medium,Frequent,Air Purification,Peepal
Urban,99,39.19,34.04,12.22,1.96,169.52,62.84,Low,61,56,26,70,89,0,Partial Shade,Loamy,6.7,Moderate,Indoor,Medium,Medium,Rare,Air Purification,Ashoka
Residential,91,24.36,37.46,5.45,3.23,115.9,51.01,Medium,36,55,25,51,50,12,Full Shade,Sandy,5.7,Good,Outdoor,Large,Low,Regular,Decoration,Guava
Residential,90,30.99,45.94,16.6,3.61,142.63,58.59,Medium,56,56,22,53,215,14,Full Sun,Clay,7.5,Moderate,Outdoor,Large,High,Regular,Air Purification,Karanj
Residential,113,55.38,46.27,11.01,4.57,144.53,45.85,Medium,47,52,30,50,196,13,Full Sun,Clay,7.3,Moderate,Outdoor,Medium,Medium,Regular,Shade,Karanj
Urban,88,33.8,43.46,9.67,1.13,143.55,58.5,High,44,85,31,59,117,3,Full Sun,Sandy,6.2,Poor,Indoor,Small,High,Frequent,Shade,Jamun
Rural,53,23.94,17.09,3.92,1.28,110.72,32.75,Medium,27,42,36,69,333,13,Full Sun,Sandy,6.9,Good,Outdoor,Small,Low,Rare,Decoration,Mango
