AreaType,AQI,PM2.5,PM10,NO2,SO2,CO,O3,TrafficDensity,RoadDistance,DustIndex,Temperature,Humidity,Rainfall,WindSpeed,Sunlight,SoilType,SoilPH,Drainage,SpaceType,AreaSize,MaintenanceLevel,WateringPreference,Purpose,RecommendedPlant
Rural,41,19.4,38.8,3.7,1.3,0.18,48.3,Low,90,36,31,74,274,9,Partial Shade,Clay,7.2,Poor,Outdoor,Large,Low,Regular,Decoration,Coconut
Urban,80,28.5,62.4,8.0,3.7,0.29,64.7,Medium,30,71,37,47,129,9,Full Sun,Sandy,6.5,Poor,Balcony,Small,Medium,Regular,Air Purification,Neem
Rural,60,24.9,50.1,5.2,1.6,0.21,59.4,Medium,56,59,21,59,138,15,Full Sun,Sandy,6.1,Good,Outdoor,Large,Medium,Regular,Shade,Peepal
Residential,69,24.7,48.6,5.8,1.9,0.23,51.0,Medium,54,60,30,60,95,5,Partial Shade,Clay,7.0,Good,Indoor,Medium,Low,Regular,Shade,Ashoka
Urban,105,38.4,74.5,10.0,4.1,0.4,63.2,High,5,84,32,57,133,0,Partial Shade,Loamy,6.8,Good,Indoor,Medium,Medium,Regular,Decoration,Spider Plant
Urban,55,23.2,47.5,4.7,2.2,0.18,54.9,Low,100,78,27,75,140,3,Full Sun,Sandy,5.9,Good,Indoor,Small,Low,Frequent,Edible,Aloe Vera
Urban,100,33.6,71.1,10.4,3.6,0.39,60.0,High,58,73,25,37,28,9,Partial Shade,Sandy,5.9,Moderate,Balcony,Medium,Low,Frequent,Decoration,Aloe Vera
Rural,83,26.8,67.2,8.2,2.4,0.35,60.5,High,5,54,31,80,316,19,Full Sun,Sandy,7.1,Good,Outdoor,Large,Medium,Regular,Decoration,Coconut
Urban,68,26.8,51.5,5.5,2.8,0.23,59.8,Low,71,37,30,48,197,9,Full Sun,Loamy,7.2,Good,Outdoor,Medium,Medium,Rare,Edible,Guava
Urban,78,22.0,52.6,9.3,2.6,0.25,63.4,Medium,42,50,29,29,58,0,Full Sun,Clay,6.6,Moderate,Indoor,Medium,Low,Rare,Decoration,ZZ Plant
Urban,100,33.7,72.3,10.4,3.5,0.39,61.6,High,24,76,24,53,117,8,Partial Shade,Loamy,7.2,Poor,Balcony,Large,Low,Rare,Shade,Banyan
Residential,72,24.8,57.1,8.3,1.4,0.26,56.6,Medium,37,58,32,52,193,7,Partial Shade,Loamy,6.6,Moderate,Balcony,Medium,High,Rare,Shade,Ashoka
Urban,86,28.4,64.7,7.7,4.0,0.27,66.4,Medium,66,68,38,81,165,17,Full Sun,Loamy,6.9,Good,Outdoor,Medium,Medium,Regular,Air Purification,Peepal
Urban,105,35.1,64.4,11.0,4.1,0.4,66.4,High,21,68,32,35,44,3,Full Shade,Clay,7.1,Good,Balcony,Medium,High,Frequent,Decoration,Bougainvillea
Rural,39,16.1,43.0,3.1,1.2,0.15,56.4,Low,67,28,30,54,206,14,Full Sun,Loamy,7.1,Moderate,Outdoor,Small,Low,Regular,Edible,Mango
Rural,70,20.6,44.2,7.0,2.3,0.27,56.6,Medium,16,40,35,35,18,5,Full Sun,Sandy,6.5,Good,Indoor,Small,Medium,Rare,Edible,Aloe Vera
Residential,51,17.6,46.2,5.3,2.1,0.23,53.2,Medium,60,31,29,54,115,2,Full Shade,Loamy,6.0,Good,Balcony,Large,Low,Frequent,Decoration,Money Plant
Urban,50,21.4,40.3,4.2,1.9,0.16,46.9,Low,77,31,34,64,273,3,Partial Shade,Clay,6.9,Good,Indoor,Medium,Low,Rare,Edible,Tulsi
Residential,58,21.1,48.5,4.6,1.4,0.14,41.7,Low,71,37,30,95,325,6,Partial Shade,Sandy,5.9,Good,Indoor,Small,Low,Regular,Decoration,Aloe Vera
Residential,75,26.0,57.3,6.8,3.0,0.25,63.5,Medium,92,58,35,46,32,13,Full Sun,Sandy,6.3,Good,Balcony,Medium,Low,Regular,Edible,Mango
Urban,85,29.5,56.3,8.0,3.5,0.3,62.3,Medium,5,56,34,27,42,20,Partial Shade,Sandy,6.5,Good,Outdoor,Medium,High,Regular,Decoration,Bougainvillea
Urban,83,24.1,64.5,7.6,4.0,0.23,48.7,Medium,73,59,37,69,152,0,Partial Shade,Clay,6.8,Poor,Indoor,Large,Medium,Regular,Shade,Banyan
Rural,53,18.3,45.7,5.9,2.0,0.19,59.7,Medium,43,46,32,88,198,9,Full Sun,Loamy,6.2,Good,Outdoor,Large,Low,Regular,Edible,Coconut
Urban,88,30.7,71.7,8.5,3.1,0.35,70.6,High,27,54,38,64,229,5,Full Sun,Loamy,6.6,Good,Outdoor,Medium,Medium,Frequent,Edible,Guava
Urban,100,33.9,65.3,10.8,3.4,0.39,45.6,High,43,75,21,61,169,0,Full Shade,Loamy,6.9,Moderate,Indoor,Small,High,Regular,Air Purification,Spider Plant
Rural,78,24.8,49.3,7.4,2.6,0.28,52.1,Medium,70,38,29,51,129,2,Partial Shade,Sandy,7.0,Moderate,Outdoor,Small,Medium,Regular,Shade,Banyan
Residential,75,26.7,53.9,7.5,3.4,0.26,38.9,Medium,78,53,19,62,156,9,Full Shade,Loamy,6.2,Good,Indoor,Large,High,Frequent,Edible,Peace Lily
Residential,74,29.3,63.1,8.3,2.5,0.26,48.1,Medium,51,84,25,61,25,4,Partial Shade,Clay,7.2,Moderate,Indoor,Small,Medium,Regular,Decoration,Spider Plant
Urban,103,31.3,70.4,11.1,3.9,0.4,56.6,High,40,80,26,52,53,0,Partial Shade,Loamy,6.7,Poor,Indoor,Medium,Low,Rare,Shade,ZZ Plant
Rural,40,18.0,38.4,4.2,1.5,0.15,49.5,Low,96,33,17,33,38,15,Partial Shade,Loamy,6.2,Moderate,Outdoor,Medium,Low,Rare,Decoration,Aloe Vera
Urban,77,28.5,53.0,7.4,3.5,0.26,56.6,Low,70,39,32,47,85,0,Partial Shade,Sandy,7.2,Moderate,Indoor,Small,High,Frequent,Shade,Snake Plant
