AreaType,AQI,PM2.5,PM10,NO2,SO2,CO,O3,TrafficDensity,RoadDistance,DustIndex,Temperature,Humidity,Rainfall,WindSpeed,Sunlight,SoilType,SoilPH,Drainage,SpaceType,AreaSize,MaintenanceLevel,WateringPreference,Purpose,RecommendedPlant
Residential,54,25.1,52.2,10.3,7.7,0.18,70.6,Medium,106,76,33,85,151,5,Full Shade,Loamy,6.1,Good,Indoor,Medium,Medium,Regular,Decoration,Peace Lily
Urban,52,28.8,53.8,4.5,2.8,0.66,32.4,Low,83,63,29,69,75,18,Full Sun,Sandy,7.0,Moderate,Outdoor,Large,High,Regular,Edible,Coconut
Residential,53,34.0,61.9,6.0,6.0,0.57,62.1,High,106,90,20,60,70,3,Full Shade,Loamy,7.9,Good,Indoor,Medium,High,Regular,Decoration,Peace Lily
Urban,67,15.7,33.9,3.8,5.5,0.36,78.2,Low,88,80,25,75,342,7,Partial Shade,Loamy,5.9,Good,Outdoor,Large,Medium,Regular,Edible,Mango
Residential,103,19.6,37.0,12.6,3.3,0.48,31.8,Low,93,41,39,66,326,6,Partial Shade,Loamy,7.7,Good,Indoor,Medium,Low,Frequent,Decoration,Snake Plant
Urban,75,11.0,20.4,6.3,1.7,0.46,82.2,Medium,11,36,41,87,55,13,Partial Shade,Loamy,5.9,Moderate,Indoor,Medium,Low,Regular,Edible,Tulsi
Urban,88,30.1,59.6,13.6,4.3,0.4,37.6,Medium,28,54,27,49,245,4,Full Shade,Sandy,6.0,Good,Indoor,Medium,Medium,Rare,Decoration,Peace Lily
Residential,60,29.1,55.2,5.2,2.2,0.75,87.7,Low,23,24,19,76,391,13,Full Sun,Sandy,7.9,Good,Outdoor,Large,Low,Regular,Decoration,Bougainvillea
Urban,53,17.0,35.6,6.0,5.9,0.5,63.2,Medium,108,77,25,60,315,7,Partial Shade,Loamy,6.6,Good,Balcony,Small,Medium,Regular,Shade,Bamboo
Urban,96,30.6,56.4,14.6,2.3,0.49,75.2,High,40,40,38,45,174,5,Partial Shade,Clay,7.3,Good,Indoor,Medium,Medium,Regular,Decoration,Spider Plant
Residential,65,26.1,55.6,8.3,5.9,0.72,88.9,Medium,105,84,38,72,279,3,Full Shade,Loamy,6.8,Good,Outdoor,Large,Low,Rare,Shade,Neem
